대학,학과(부)/전공/영역,개설학과,학년,과정,이수구분,과목번호-분반,과목명,학점-시간,담당교수,폐강,강의시간,유연학기,비고,수업유형
경영경제대학,금융공학융합전공,응용통계학과,4,학사,전공,53991-01,시계열분석론 (영어A강의),3-3,김삼용,,화(10:30~11:45) / 목(10:30~11:45) / 310관(310관) 927호 <강의실>,,,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-01,경제와사회,3-3,김지영,,"금1,2,3 / 303관(303관(법학관)) 405호 <강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-01,경제와사회,3-3,손주현,,"화1,2,3 / 801관(중앙문화관) 205호 <강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-02,경제와사회,3-3,김지영,,"금4,5,6 / 303관(303관(법학관)) 405호 <강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-02,경제와사회,3-3,손주현,,"화6,7,8 / 801관(중앙문화관) 205호 <강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-03,경제와사회,3-3,장선해,,"월1,2,3 / 310관(310관) B603호 <대형강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-04,경제와사회,3-3,장선해,,"토1,2,3 / 310관(310관) 505호 <강의실>",,핵심-도전 지식경영학부외 수강불가/정정기간에는 통합여석 적용 예정[[수강대상 : 지식경영학부]],
대학(전체),외식산업경영연계전공,,전체,학사,교양,55784-01,음식의문화인류학,3-3,박지현,,"화4,5,6 / 310관(310관) 503호 <강의실>",,선택-신뢰,
경영경제대학,외식산업경영연계전공,경영학전공,1,학사,전공기초,01333-03,경영학원론,3-3,정예숙,,화(15:00~16:15) / 목(15:00~16:15) / 310관(310관) 722호 <강의실>,,다전공 수강대상,
생명공학대학,외식산업경영연계전공,식품공학부,1,학사,전공기초,13266-01,실험통계학,3-3,이선영,,월(14:00~15:15) / 수(14:00~15:15) / 810관(원형관) 101호 <강의실>,,,
생명공학대학,외식산업경영연계전공,식품영양전공,2,학사,전공,01798-01,고급영양학 (영어A강의),3-3,이복희,,"월1,2 / 수2 / 904관,905관(생명공학관 2관,3관) 108-1호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경영학전공,2,학사,전공필수,06793-01,마케팅 (영어A강의),3-3,최인혁,,"금7,8,9 / 310관(310관) 927호 <강의실>",,,
생명공학대학,외식산업경영연계전공,식품영양전공,2,학사,전공필수,19392-01,조리과학,3-3,,,"월3,4 / 수3 / 810관(원형관) 513호 <강의실>",,,
예술대학,외식산업경영연계전공,실내환경디자인전공,3,학사,전공,40855-01,공간디자인마케팅,3-3,장연화,,"수6,7,8 / 801관(중앙문화관) 118호 <스튜디오1>",,,
생명공학대학,외식산업경영연계전공,식품영양전공,3,학사,전공,04335-01,급식경영및인사관리,3-3,신상아,,"월2 / 수1,2 / 810관(원형관) 101호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경제학부(서울),3,학사,전공,10235-02,산업조직론,3-3,,,화(13:30~14:45) / 목(13:30~14:45) / 310관(310관) 611호 <강의실>,,다전공생 수강가능,
생명공학대학,외식산업경영연계전공,식품영양전공,3,학사,전공,31189-01,생애주기영양학,3-3,문성권,,"화5,6 / 목5 / 810관(원형관) 512호 <강의실>",,,
생명공학대학,외식산업경영연계전공,식품영양전공,3,학사,전공필수,12709-01,식품위생학,3-3,최창순,,"금1,2,3 / 810관(원형관) 514호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경영학전공,3,학사,전공,54029-02,인적자원관리 (영어A강의),3-3,이종건,,"금7,8,9 / 310관(310관) 928호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경영학전공,4,학사,전공,30730-01,사회적책임과기업윤리,3-3,조유현,,"금1,2,3 / 310관(310관) 928호 <강의실>",,,
생명공학대학,외식산업경영연계전공,식품영양전공,4,학사,전공,49125-01,식생활과문화,3-3,,,"월6 / 수5,6 / 810관(원형관) 514호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경제학부(서울),4,학사,전공,51442-02,유통서비스경제론,3-3,신영호,,"목7,8,9 / 310관(310관) 310호 <강의실>",,다전공생 수강가능,
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공,49361-01,비쥬얼프로그래밍,3-3,김승태,,"목7,8,9 / 208관(208관(제2공학관)) 515호 <코드부트캠프실습실2>",,"자과생수강불가,비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공,49361-02,비쥬얼프로그래밍,3-3,남상혁,,"화7,8,9 / 208관(208관(제2공학관)) 415호 <데이터사이언스&딥러닝실험실>",,"자과생수강불가, 비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공,49361-03,비쥬얼프로그래밍,3-3,,,"금7,8,9 / 310관(310관) 726호 <강의실>",,"자과생수강불가, 비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공기초,47710-07,프로그래밍,3-4,장계봉,,"금7,8,9,10 / 310관(310관) 620호 <강의실>",,"자과생수강불가,비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공기초,47710-08,프로그래밍,3-4,김현준,,"목7,8,9,10 / 310관(310관) B311호 <SW융합 PC실1>",,"자과생수강불가, 비전공자전용",
경영경제대학,금융공학융합전공,경제학부(서울),2,학사,전공필수,00736-03,거시경제학,3-3,,,"수1,2,3 / 310관(310관) 310호 <강의실>",,다전공생 수강가능,
경영경제대학,금융공학융합전공,경제학부(서울),2,학사,전공필수,01566-01,계량경제학,3-3,양수용,,"월1,2,3 / 310관(310관) 801호 <강의실>",,다전공생 수강가능,
자연과학대학,금융공학융합전공,수학과,2,학사,전공,11934-01,수치해석 (영어A강의),3-3,김영삼,,"화5,6 / 목6 / 102관(102관(약학대학 및 R&D센터)) 109호 <강의실>",,,
경영경제대학,금융공학융합전공,경영학전공,2,학사,전공,27808-01,중급재무회계(Ⅱ),3-3,정도진,,월(10:30~11:45) / 수(10:30~11:45) / 310관(310관) 921호 <강의실>,,,
경영경제대학,금융공학융합전공,경영학전공,2,학사,전공,21961-04,투자론 (영어A강의),3-3,김동현,,"금7,8,9 / 00 000000",,,혼합형(실시간+동영상)
대학(전체),금융공학융합전공,금융공학융합전공,3,학사,전공,55221-02,금융인공지능,3-3,유시용,,월(13:30~14:45) / 수(13:30~14:45) / 310관(310관) 927호 <강의실>,,융합전공,
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,52320-02,웹프로그래밍,3-3,김상욱,,"화7,8,9 / 310관(310관) 619호 <강의실>",,"자과생수강불가, 비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,52320-01,웹프로그래밍 (영어A강의),3-3,김상욱,,"월7,8,9 / 310관(310관) 622호 <강의실>",,"자과생수강불가, 비전공자전용",
경영경제대학,금융공학융합전공,경제학부(서울),3,학사,전공,54461-01,응용계량경제학,3-3,이광훈,,월(10:30~11:45) / 수(10:30~11:45) / 00 000000,,다전공생 수강가능,동영상
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,17182-01,인공지능,3-3,김대원,,"금2,3,4 / 310관(310관) 726호 <강의실>",,공학주제(설계1),
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,17182-03,인공지능,3-3,,,"수5,6 / 월6 / 310관(310관) 726호 <강의실> / 727호 <강의실>",,공학주제(설계1),
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,17182-02,인공지능 (영어A강의),3-3,,,"월3,4 / 수3 / 310관(310관) 727호 <강의실>",,공학주제(설계1),
경영경제대학,금융공학융합전공,응용통계학과,3,학사,전공,53994-01,통계학습개론 (영어A강의),3-3,임예지,,화(10:30~11:45) / 목(10:30~11:45) / 310관(310관) 702호 <강의실>,,,
경영경제대학,금융공학융합전공,응용통계학과,4,학사,전공,57129-01,AI를 위한 머신러닝(캡스톤디자인) (영어A강의),3-3,곽일엽,,월(10:30~11:45) / 수(10:30~11:45) / 310관(310관) 815호 <세미나실8>,,,
자연과학대학,금융공학융합전공,수학과,4,학사,전공,33675-01,금융수학 (영어A강의),3-3,홍영훈,,"월7 / 수7,8 / 102관(102관(약학대학 및 R&D센터)) 805호 <강의실>",,,
대학(전체),금융공학융합전공,금융공학융합전공,4,학사,전공필수,56606-02,금융인공지능실습(2),3-3,김종현,,"목7,8,9 / 310관(310관) 412호 <강의실>",,융합전공,
소프트웨어대학,금융공학융합전공,소프트웨어학부,4,학사,전공,50648-01,빅 데이터,3-3,김무철,,"화5,6 / 목5 / 310관(310관) 726호 <강의실>",,공학주제,
경영경제대학,금융공학융합전공,응용통계학과,4,학사,전공,21893-01,통계학세미나 (영어A강의),3-3,김삼용,,화(10:30~11:45) / 목(10:30~11:45) / 310관(310관) 927호 <강의실>,,,
소프트웨어대학,금융공학융합전공,소프트웨어학부,4,학사,전공,56122-01,패턴 인식 응용,3-3,박재화,,"금4,5,6 / 208관(208관(제2공학관)) 213호 <SW교육 첨단강의실1>",,공학주제,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-01,경제와사회,3-3,김지영,,"금1,2,3 / 303관(303관(법학관)) 405호 <강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-01,경제와사회,3-3,손주현,,"화1,2,3 / 801관(중앙문화관) 205호 <강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-02,경제와사회,3-3,김지영,,"금4,5,6 / 303관(303관(법학관)) 405호 <강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-02,경제와사회,3-3,손주현,,"화6,7,8 / 801관(중앙문화관) 205호 <강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-03,경제와사회,3-3,장선해,,"월1,2,3 / 310관(310관) B603호 <대형강의실>",,핵심-도전,
대학(전체),외식산업경영연계전공,,전체,학사,교양,28703-04,경제와사회,3-3,장선해,,"토1,2,3 / 310관(310관) 505호 <강의실>",,핵심-도전 지식경영학부외 수강불가/정정기간에는 통합여석 적용 예정[[수강대상 : 지식경영학부]],
대학(전체),외식산업경영연계전공,,전체,학사,교양,55784-01,음식의문화인류학,3-3,박지현,,"화4,5,6 / 310관(310관) 503호 <강의실>",,선택-신뢰,
경영경제대학,외식산업경영연계전공,경영학전공,1,학사,전공기초,01333-03,경영학원론,3-3,정예숙,,화(15:00~16:15) / 목(15:00~16:15) / 310관(310관) 722호 <강의실>,,다전공 수강대상,
생명공학대학,외식산업경영연계전공,식품공학부,1,학사,전공기초,13266-01,실험통계학,3-3,이선영,,월(14:00~15:15) / 수(14:00~15:15) / 810관(원형관) 101호 <강의실>,,,
생명공학대학,외식산업경영연계전공,식품영양전공,2,학사,전공,01798-01,고급영양학 (영어A강의),3-3,이복희,,"월1,2 / 수2 / 904관,905관(생명공학관 2관,3관) 108-1호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경영학전공,2,학사,전공필수,06793-01,마케팅 (영어A강의),3-3,최인혁,,"금7,8,9 / 310관(310관) 927호 <강의실>",,,
생명공학대학,외식산업경영연계전공,식품영양전공,2,학사,전공필수,19392-01,조리과학,3-3,,,"월3,4 / 수3 / 810관(원형관) 513호 <강의실>",,,
예술대학,외식산업경영연계전공,실내환경디자인전공,3,학사,전공,40855-01,공간디자인마케팅,3-3,장연화,,"수6,7,8 / 801관(중앙문화관) 118호 <스튜디오1>",,,
생명공학대학,외식산업경영연계전공,식품영양전공,3,학사,전공,04335-01,급식경영및인사관리,3-3,신상아,,"월2 / 수1,2 / 810관(원형관) 101호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경제학부(서울),3,학사,전공,10235-02,산업조직론,3-3,,,화(13:30~14:45) / 목(13:30~14:45) / 310관(310관) 611호 <강의실>,,다전공생 수강가능,
생명공학대학,외식산업경영연계전공,식품영양전공,3,학사,전공,31189-01,생애주기영양학,3-3,문성권,,"화5,6 / 목5 / 810관(원형관) 512호 <강의실>",,,
생명공학대학,외식산업경영연계전공,식품영양전공,3,학사,전공필수,12709-01,식품위생학,3-3,최창순,,"금1,2,3 / 810관(원형관) 514호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경영학전공,3,학사,전공,54029-02,인적자원관리 (영어A강의),3-3,이종건,,"금7,8,9 / 310관(310관) 928호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경영학전공,4,학사,전공,30730-01,사회적책임과기업윤리,3-3,조유현,,"금1,2,3 / 310관(310관) 928호 <강의실>",,,
생명공학대학,외식산업경영연계전공,식품영양전공,4,학사,전공,49125-01,식생활과문화,3-3,,,"월6 / 수5,6 / 810관(원형관) 514호 <강의실>",,,
경영경제대학,외식산업경영연계전공,경제학부(서울),4,학사,전공,51442-02,유통서비스경제론,3-3,신영호,,"목7,8,9 / 310관(310관) 310호 <강의실>",,다전공생 수강가능,
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공,49361-01,비쥬얼프로그래밍,3-3,김승태,,"목7,8,9 / 208관(208관(제2공학관)) 515호 <코드부트캠프실습실2>",,"자과생수강불가,비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공,49361-02,비쥬얼프로그래밍,3-3,남상혁,,"화7,8,9 / 208관(208관(제2공학관)) 415호 <데이터사이언스&딥러닝실험실>",,"자과생수강불가, 비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공,49361-03,비쥬얼프로그래밍,3-3,,,"금7,8,9 / 310관(310관) 726호 <강의실>",,"자과생수강불가, 비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공기초,47710-07,프로그래밍,3-4,장계봉,,"금7,8,9,10 / 310관(310관) 620호 <강의실>",,"자과생수강불가,비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,1,학사,전공기초,47710-08,프로그래밍,3-4,김현준,,"목7,8,9,10 / 310관(310관) B311호 <SW융합 PC실1>",,"자과생수강불가, 비전공자전용",
경영경제대학,금융공학융합전공,경제학부(서울),2,학사,전공필수,00736-03,거시경제학,3-3,,,"수1,2,3 / 310관(310관) 310호 <강의실>",,다전공생 수강가능,
경영경제대학,금융공학융합전공,경제학부(서울),2,학사,전공필수,01566-01,계량경제학,3-3,양수용,,"월1,2,3 / 310관(310관) 801호 <강의실>",,다전공생 수강가능,
자연과학대학,금융공학융합전공,수학과,2,학사,전공,11934-01,수치해석 (영어A강의),3-3,김영삼,,"화5,6 / 목6 / 102관(102관(약학대학 및 R&D센터)) 109호 <강의실>",,,
경영경제대학,금융공학융합전공,경영학전공,2,학사,전공,27808-01,중급재무회계(Ⅱ),3-3,정도진,,월(10:30~11:45) / 수(10:30~11:45) / 310관(310관) 921호 <강의실>,,,
경영경제대학,금융공학융합전공,경영학전공,2,학사,전공,21961-04,투자론 (영어A강의),3-3,김동현,,"금7,8,9 / 00 000000",,,혼합형(실시간+동영상)
대학(전체),금융공학융합전공,금융공학융합전공,3,학사,전공,55221-02,금융인공지능,3-3,유시용,,월(13:30~14:45) / 수(13:30~14:45) / 310관(310관) 927호 <강의실>,,융합전공,
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,52320-02,웹프로그래밍,3-3,김상욱,,"화7,8,9 / 310관(310관) 619호 <강의실>",,"자과생수강불가, 비전공자전용",
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,52320-01,웹프로그래밍 (영어A강의),3-3,김상욱,,"월7,8,9 / 310관(310관) 622호 <강의실>",,"자과생수강불가, 비전공자전용",
경영경제대학,금융공학융합전공,경제학부(서울),3,학사,전공,54461-01,응용계량경제학,3-3,이광훈,,월(10:30~11:45) / 수(10:30~11:45) / 00 000000,,다전공생 수강가능,동영상
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,17182-01,인공지능,3-3,김대원,,"금2,3,4 / 310관(310관) 726호 <강의실>",,공학주제(설계1),
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,17182-03,인공지능,3-3,,,"수5,6 / 월6 / 310관(310관) 726호 <강의실> / 727호 <강의실>",,공학주제(설계1),
소프트웨어대학,금융공학융합전공,소프트웨어학부,3,학사,전공,17182-02,인공지능 (영어A강의),3-3,,,"월3,4 / 수3 / 310관(310관) 727호 <강의실>",,공학주제(설계1),
경영경제대학,금융공학융합전공,응용통계학과,3,학사,전공,53994-01,통계학습개론 (영어A강의),3-3,임예지,,화(10:30~11:45) / 목(10:30~11:45) / 310관(310관) 702호 <강의실>,,,
경영경제대학,금융공학융합전공,응용통계학과,4,학사,전공,57129-01,AI를 위한 머신러닝(캡스톤디자인) (영어A강의),3-3,곽일엽,,월(10:30~11:45) / 수(10:30~11:45) / 310관(310관) 815호 <세미나실8>,,,
자연과학대학,금융공학융합전공,수학과,4,학사,전공,33675-01,금융수학 (영어A강의),3-3,홍영훈,,"월7 / 수7,8 / 102관(102관(약학대학 및 R&D센터)) 805호 <강의실>",,,
대학(전체),금융공학융합전공,금융공학융합전공,4,학사,전공필수,56606-02,금융인공지능실습(2),3-3,김종현,,"목7,8,9 / 310관(310관) 412호 <강의실>",,융합전공,
소프트웨어대학,금융공학융합전공,소프트웨어학부,4,학사,전공,50648-01,빅 데이터,3-3,김무철,,"화5,6 / 목5 / 310관(310관) 726호 <강의실>",,공학주제,
경영경제대학,금융공학융합전공,응용통계학과,4,학사,전공,21893-01,통계학세미나 (영어A강의),3-3,김삼용,,화(10:30~11:45) / 목(10:30~11:45) / 310관(310관) 927호 <강의실>,,,
소프트웨어대학,금융공학융합전공,소프트웨어학부,4,학사,전공,56122-01,패턴 인식 응용,3-3,박재화,,"금4,5,6 / 208관(208관(제2공학관)) 213호 <SW교육 첨단강의실1>",,공학주제,
